Gene,Description
ABI1,oncogene
ABL1,oncogene
ABL2,oncogene
ACSL3,oncogene
ACSL6,oncogene
AFF1,oncogene
AFF3,oncogene
AFF4,oncogene
AKAP9,oncogene
AKT1,oncogene
AKT2,oncogene
ALK,oncogene
ARHGAP26,oncogene
ARHGEF12,oncogene
ARNT,oncogene
ASPSCR1,oncogene
ATF1,oncogene
ATIC,oncogene
BCL10,oncogene
BCL11A,oncogene
BCL11B,oncogene
BCL2,oncogene
BCL3,oncogene
BCL5,oncogene
BCL6,oncogene
BCL7A,oncogene
BCL9,oncogene
BCR,oncogene
BIRC3,oncogene
BRAF,oncogene
BRD3,oncogene
BRD4,oncogene
BTG1,oncogene
C12orf9,oncogene
C15orf55,oncogene
CANT1,oncogene
CARD11,oncogene
CARS,oncogene
CASC5,oncogene
CBFA2T3,oncogene
CBFB,oncogene
CCDC6,oncogene
CCNB1IP1,oncogene
CCND1,oncogene
CCND2,oncogene
CCND3,oncogene
CD74,oncogene
CD79A,oncogene
CD79B,oncogene
CDH11,oncogene
CDK4,oncogene
CDK6,oncogene
CDX2,oncogene
CEBPA,oncogene
CHCHD7,oncogene
CHIC2,oncogene
CHN1,oncogene
CIC,oncogene
CIITA,oncogene
CLP1,oncogene
CLTC,oncogene
CLTCL1,oncogene
CNBP,oncogene
CNTRL,oncogene
COL1A1,oncogene
COX6C,oncogene
CREB1,oncogene
CREB3L2,oncogene
CREBBP,oncogene
CRLF2,oncogene
CRTC1,oncogene
CRTC3,oncogene
CTNNB1,oncogene
CXCR7,oncogene
DDIT3,oncogene
DDX10,oncogene
DDX5,oncogene
DDX6,oncogene
DEK,oncogene
EGFR,oncogene
EIF4A2,oncogene
ELF4,oncogene
ELK4,oncogene
ELL,oncogene
ELN,oncogene
EML4,oncogene
EPS15,oncogene
ERBB2,oncogene
ERC1,oncogene
ERG,oncogene
ETV1,oncogene
ETV4,oncogene
ETV5,oncogene
ETV6,oncogene
EWSR1,oncogene
FCGR2B,oncogene
FCRL4,oncogene
FEV,oncogene
FGFR1,oncogene
FGFR1OP,oncogene
FGFR2,oncogene
FGFR3,oncogene
FIP1L1,oncogene
FLI1,oncogene
FLT3,oncogene
FNBP1,oncogene
FOXL2,oncogene
FOXO1,oncogene
FOXO3,oncogene
FOXO4,oncogene
FOXP1,oncogene
FSTL3,oncogene
FUS,oncogene
GAS7,oncogene
GATA1,oncogene
GATA2,oncogene
GMPS,oncogene
GNAQ,oncogene
GNAS,oncogene
GOLGA5,oncogene
GOPC,oncogene
GPHN,oncogene
HERPUD1,oncogene
HIP1,oncogene
HIST1H4I,oncogene
HLF,oncogene
HMGA1,oncogene
HMGA2,oncogene
HMGN2P46,oncogene
HNRNPA2B1,oncogene
HOOK3,oncogene
HOXA11,oncogene
HOXA13,oncogene
HOXA9,oncogene
HOXC11,oncogene
HOXC13,oncogene
HOXD11,oncogene
HOXD13,oncogene
HRAS,oncogene
HSP90AA1,oncogene
HSP90AB1,oncogene
IDH1,oncogene
IDH2,oncogene
IGH@,oncogene
IGK@,oncogene
IGL@,oncogene
IKZF1,oncogene
IL2,oncogene
IL21R,oncogene
IL6ST,oncogene
IRF4,oncogene
ITK,oncogene
JAK1,oncogene
JAK2,oncogene
JAK3,oncogene
JAZF1,oncogene
JUN,oncogene
KDM5A,oncogene
KDR,oncogene
KDSR,oncogene
KIAA1549,oncogene
KIT,oncogene
KLK2,oncogene
KRAS,oncogene
KTN1,oncogene
LASP1,oncogene
LCK,oncogene
LCP1,oncogene
LHFP,oncogene
LIFR,oncogene
LMO1,oncogene
LMO2,oncogene
LPP,oncogene
LYL1,oncogene
MAF,oncogene
MAFB,oncogene
MALAT1,oncogene
MALT1,oncogene
MAML2,oncogene
MDM2,oncogene
MDM4,oncogene
MDS2,oncogene
MECOM,oncogene
MET,oncogene
MITF,oncogene
MKL1,oncogene
MLF1,oncogene
MLL,oncogene
MLLT1,oncogene
MLLT10,oncogene
MLLT11,oncogene
MLLT3,oncogene
MLLT4,oncogene
MLLT6,oncogene
MN1,oncogene
MNX1,oncogene
MPL,oncogene
MSI2,oncogene
MSN,oncogene
MTCP1,oncogene
MUC1,oncogene
MYB,oncogene
MYC,oncogene
MYCL1,oncogene
MYCN,oncogene
MYH11,oncogene
MYH9,oncogene
NACA,oncogene
NCKIPSD,oncogene
NCOA1,oncogene
NCOA2,oncogene
NCOA4,oncogene
NFIB,oncogene
NFKB2,oncogene
NIN,oncogene
NONO,oncogene
NOTCH1,oncogene
NOTCH2,oncogene
NPM1,oncogene
NR4A3,oncogene
NRAS,oncogene
NSD1,oncogene
NTRK1,oncogene
NTRK3,oncogene
NUMA1,oncogene
NUP214,oncogene
NUP98,oncogene
OLIG2,oncogene
OMD,oncogene
P2RY8,oncogene
PAFAH1B2,oncogene
PATZ1,oncogene
PAX3,oncogene
PAX5,oncogene
PAX7,oncogene
PAX8,oncogene
PBX1,oncogene
PCM1,oncogene
PCSK7,oncogene
PDE4DIP,oncogene
PDGFB,oncogene
PDGFRA,oncogene
PDGFRB,oncogene
PER1,oncogene
PICALM,oncogene
PIK3CA,oncogene
PIM1,oncogene
PLAG1,oncogene
PML,oncogene
POU2AF1,oncogene
POU5F1,oncogene
PPARG,oncogene
PRCC,oncogene
PRDM16,oncogene
PRRX1,oncogene
PSIP1,oncogene
PTPN11,oncogene
RABEP1,oncogene
RAF1,oncogene
RANBP17,oncogene
RAP1GDS1,oncogene
RARA,oncogene
RBM15,oncogene
REL,oncogene
RET,oncogene
RHOH,oncogene
RNF213,oncogene
ROS1,oncogene
RPL22,oncogene
RPN1,oncogene
RUNX1,oncogene
RUNX1T1,oncogene
5-Sep,oncogene
6-Sep,oncogene
9-Sep,oncogene
SET,oncogene
SFPQ,oncogene
SH3GL1,oncogene
SLC45A3,oncogene
SMO,oncogene
SPECC1,oncogene
SRGAP3,oncogene
SRSF3,oncogene
SS18,oncogene
SS18L1,oncogene
SSX1,oncogene
SSX2,oncogene
SSX4,oncogene
STIL,oncogene
STL,oncogene
SUZ12,oncogene
SYK,oncogene
TAF15,oncogene
TAL1,oncogene
TAL2,oncogene
TCEA1,oncogene
TCF12,oncogene
TCF3,oncogene
TCL1A,oncogene
TCL6,oncogene
TET1,oncogene
TFE3,oncogene
TFEB,oncogene
TFG,oncogene
TFPT,oncogene
TFRC,oncogene
THRAP3,oncogene
TLX1,oncogene
TLX3,oncogene
TMPRSS2,oncogene
TNFRSF17,oncogene
TOP1,oncogene
TPM3,oncogene
TPM4,oncogene
TPR,oncogene
TRA@,oncogene
TRB@,oncogene
TRD@,oncogene
TRIM24,oncogene
TRIM27,oncogene
TRIM33,oncogene
TRIP11,oncogene
TSHR,oncogene
TTL,oncogene
USP6,oncogene
WHSC1,oncogene
WHSC1L1,oncogene
ZBTB16,oncogene
ZMYM2,oncogene
ZNF331,oncogene
ZNF384,oncogene
ZNF521,oncogene
APC,tumor-supp
ASXL1,tumor-supp
ATM,tumor-supp
BLM,tumor-supp
BMPR1A,tumor-supp
BRCA1,tumor-supp
BRCA2,tumor-supp
BRIP1,tumor-supp
BUB1B,tumor-supp
CBLB,tumor-supp
CBLC,tumor-supp
CDC73,tumor-supp
CDH1,tumor-supp
CDKN2A,tumor-supp
CDKN2C,tumor-supp
CHEK2,tumor-supp
CYLD,tumor-supp
DDB2,tumor-supp
DICER1,tumor-supp
EP300,tumor-supp
ERCC2,tumor-supp
ERCC3,tumor-supp
ERCC4,tumor-supp
ERCC5,tumor-supp
EXT1,tumor-supp
EXT2,tumor-supp
FAM123B,tumor-supp
FANCA,tumor-supp
FANCC,tumor-supp
FANCD2,tumor-supp
FANCE,tumor-supp
FANCF,tumor-supp
FANCG,tumor-supp
FAS,tumor-supp
FBXW7,tumor-supp
FH,tumor-supp
GATA3,tumor-supp
HNF1A,tumor-supp
KDM5C,tumor-supp
KDM6A,tumor-supp
KLF6,tumor-supp
MAP2K4,tumor-supp
MEN1,tumor-supp
MLH1,tumor-supp
MSH2,tumor-supp
MSH6,tumor-supp
MUTYH,tumor-supp
NBN,tumor-supp
NF1,tumor-supp
NF2,tumor-supp
PALB2,tumor-supp
PHOX2B,tumor-supp
PIK3R1,tumor-supp
PMS1,tumor-supp
PMS2,tumor-supp
PRF1,tumor-supp
PTCH1,tumor-supp
PTEN,tumor-supp
RB1,tumor-supp
RECQL4,tumor-supp
SBDS,tumor-supp
SDHAF2,tumor-supp
SDHB,tumor-supp
SDHC,tumor-supp
SDHD,tumor-supp
SETD2,tumor-supp
SMAD4,tumor-supp
SMARCA4,tumor-supp
SMARCB1,tumor-supp
SOCS1,tumor-supp
STK11,tumor-supp
SUFU,tumor-supp
TET2,tumor-supp
TNFAIP3,tumor-supp
TP53,tumor-supp
TSC1,tumor-supp
TSC2,tumor-supp
VHL,tumor-supp
WRN,tumor-supp
WT1,tumor-supp
XPA,tumor-supp
XPC,tumor-supp
ABI1,translocated-cancer
ABL1,translocated-cancer
ABL2,translocated-cancer
ACSL3,translocated-cancer
ACSL6,translocated-cancer
AFF1,translocated-cancer
AFF3,translocated-cancer
AFF4,translocated-cancer
AKAP9,translocated-cancer
ALK,translocated-cancer
ARHGAP26,translocated-cancer
ARHGEF12,translocated-cancer
ARNT,translocated-cancer
ASPSCR1,translocated-cancer
ATF1,translocated-cancer
ATIC,translocated-cancer
BCL10,translocated-cancer
BCL11A,translocated-cancer
BCL11B,translocated-cancer
BCL2,translocated-cancer
BCL3,translocated-cancer
BCL5,translocated-cancer
BCL6,translocated-cancer
BCL7A,translocated-cancer
BCL9,translocated-cancer
BCR,translocated-cancer
BIRC3,translocated-cancer
BRAF,translocated-cancer
BRD3,translocated-cancer
BRD4,translocated-cancer
BTG1,translocated-cancer
C12orf9,translocated-cancer
C15orf55,translocated-cancer
CANT1,translocated-cancer
CARS,translocated-cancer
CASC5,translocated-cancer
CBFA2T3,translocated-cancer
CBFB,translocated-cancer
CBL,translocated-cancer
CCDC6,translocated-cancer
CCNB1IP1,translocated-cancer
CCND1,translocated-cancer
CCND2,translocated-cancer
CCND3,translocated-cancer
CD74,translocated-cancer
CDH11,translocated-cancer
CDK6,translocated-cancer
CDX2,translocated-cancer
CHCHD7,translocated-cancer
CHIC2,translocated-cancer
CHN1,translocated-cancer
CIC,translocated-cancer
CIITA,translocated-cancer
CLP1,translocated-cancer
CLTC,translocated-cancer
CLTCL1,translocated-cancer
CNBP,translocated-cancer
CNTRL,translocated-cancer
COL1A1,translocated-cancer
COX6C,translocated-cancer
CREB1,translocated-cancer
CREB3L2,translocated-cancer
CREBBP,translocated-cancer
CRLF2,translocated-cancer
CRTC1,translocated-cancer
CRTC3,translocated-cancer
CTNNB1,translocated-cancer
CXCR7,translocated-cancer
DDIT3,translocated-cancer
DDX10,translocated-cancer
DDX5,translocated-cancer
DDX6,translocated-cancer
DEK,translocated-cancer
EIF4A2,translocated-cancer
ELF4,translocated-cancer
ELK4,translocated-cancer
ELL,translocated-cancer
ELN,translocated-cancer
EML4,translocated-cancer
EP300,translocated-cancer
EPS15,translocated-cancer
ERC1,translocated-cancer
ERG,translocated-cancer
ETV1,translocated-cancer
ETV4,translocated-cancer
ETV5,translocated-cancer
ETV6,translocated-cancer
EWSR1,translocated-cancer
FCGR2B,translocated-cancer
FCRL4,translocated-cancer
FEV,translocated-cancer
FGFR1,translocated-cancer
FGFR1OP,translocated-cancer
FGFR3,translocated-cancer
FIP1L1,translocated-cancer
FLI1,translocated-cancer
