MGI_ID,Mouse_symbol,IMPC_viability_DR7.0,Link_IMPC
MGI:101784,Nes,Viable,http://www.mousephenotype.org/data/genes/MGI:101784
MGI:101786,Mtf1,Lethal,http://www.mousephenotype.org/data/genes/MGI:101786
MGI:101833,Elk1,Viable,http://www.mousephenotype.org/data/genes/MGI:101833
MGI:101835,Traf2,Lethal,http://www.mousephenotype.org/data/genes/MGI:101835
MGI:101848,Gnb5,Subviable,http://www.mousephenotype.org/data/genes/MGI:101848
MGI:101850,Usp45,Viable,http://www.mousephenotype.org/data/genes/MGI:101850
MGI:101863,Aldoc,Viable,http://www.mousephenotype.org/data/genes/MGI:101863
MGI:101875,Thpo,Viable,http://www.mousephenotype.org/data/genes/MGI:101875
MGI:101876,Tead1,Lethal,http://www.mousephenotype.org/data/genes/MGI:101876
MGI:101878,Ccl8,Viable,http://www.mousephenotype.org/data/genes/MGI:101878
MGI:101901,Klra7,Viable,http://www.mousephenotype.org/data/genes/MGI:101901
MGI:101910,F2rl1,Viable,http://www.mousephenotype.org/data/genes/MGI:101910
MGI:101919,Ap1g1,Lethal,http://www.mousephenotype.org/data/genes/MGI:101919
MGI:101920,Ap2a2,Subviable | Viable,http://www.mousephenotype.org/data/genes/MGI:101920
MGI:101932,Cpe,Viable,http://www.mousephenotype.org/data/genes/MGI:101932
MGI:101938,Mlh1,Viable,http://www.mousephenotype.org/data/genes/MGI:101938
MGI:101948,Wnt11,Viable,http://www.mousephenotype.org/data/genes/MGI:101948
MGI:101950,Calcr,Viable,http://www.mousephenotype.org/data/genes/MGI:101950
MGI:102465,Tex2,Viable,http://www.mousephenotype.org/data/genes/MGI:102465
MGI:102467,Ptpn14,Viable,http://www.mousephenotype.org/data/genes/MGI:102467
MGI:102519,Cst3,Lethal,http://www.mousephenotype.org/data/genes/MGI:102519
MGI:102552,Crisp3,Viable,http://www.mousephenotype.org/data/genes/MGI:102552
MGI:102556,Tbx4,Lethal,http://www.mousephenotype.org/data/genes/MGI:102556
MGI:102565,Pou2f3,Viable,http://www.mousephenotype.org/data/genes/MGI:102565
MGI:102657,Cdc34,Subviable,http://www.mousephenotype.org/data/genes/MGI:102657
MGI:102666,Ppp5c,Viable,http://www.mousephenotype.org/data/genes/MGI:102666
MGI:102672,Runx3,Lethal,http://www.mousephenotype.org/data/genes/MGI:102672
MGI:102675,Crym,Viable,http://www.mousephenotype.org/data/genes/MGI:102675
MGI:102683,Grb7,Viable,http://www.mousephenotype.org/data/genes/MGI:102683
MGI:102694,Ptprm,Viable,http://www.mousephenotype.org/data/genes/MGI:102694
MGI:102706,Fdft1,Lethal,http://www.mousephenotype.org/data/genes/MGI:102706
MGI:102707,Efna2,Viable,http://www.mousephenotype.org/data/genes/MGI:102707
MGI:102717,Crybb3,Viable,http://www.mousephenotype.org/data/genes/MGI:102717
MGI:102744,Nelfe,Lethal,http://www.mousephenotype.org/data/genes/MGI:102744
MGI:102757,Try4,Viable,http://www.mousephenotype.org/data/genes/MGI:102757
MGI:102759,Prss2,Viable,http://www.mousephenotype.org/data/genes/MGI:102759
MGI:102788,Rph3a,Viable,http://www.mousephenotype.org/data/genes/MGI:102788
MGI:102789,Rab20,Viable,http://www.mousephenotype.org/data/genes/MGI:102789
MGI:102793,Fstl1,Viable,http://www.mousephenotype.org/data/genes/MGI:102793
MGI:102805,Entpd1,Viable,http://www.mousephenotype.org/data/genes/MGI:102805
MGI:102806,Acvr2a,Subviable,http://www.mousephenotype.org/data/genes/MGI:102806
MGI:102809,Sars,Lethal,http://www.mousephenotype.org/data/genes/MGI:102809
MGI:102848,Serpina3c,Viable,http://www.mousephenotype.org/data/genes/MGI:102848
MGI:102849,Klkb1,Viable,http://www.mousephenotype.org/data/genes/MGI:102849
MGI:102851,Pdx1,Lethal,http://www.mousephenotype.org/data/genes/MGI:102851
MGI:102928,Sult1c1,Viable,http://www.mousephenotype.org/data/genes/MGI:102928
MGI:102934,Scx,Lethal,http://www.mousephenotype.org/data/genes/MGI:102934
MGI:102944,Ube2b,Subviable,http://www.mousephenotype.org/data/genes/MGI:102944
MGI:102949,Foxn1,Viable,http://www.mousephenotype.org/data/genes/MGI:102949
MGI:102959,Ube2a,Viable,http://www.mousephenotype.org/data/genes/MGI:102959
MGI:102960,Txk,Viable,http://www.mousephenotype.org/data/genes/MGI:102960
MGI:102966,Ptgdr,Viable,http://www.mousephenotype.org/data/genes/MGI:102966
MGI:103007,Epb41l4a,Viable,http://www.mousephenotype.org/data/genes/MGI:103007
MGI:103010,Epb41l1,Viable,http://www.mousephenotype.org/data/genes/MGI:103010
MGI:103014,Il15,Viable,http://www.mousephenotype.org/data/genes/MGI:103014
MGI:103033,Scg2,Viable,http://www.mousephenotype.org/data/genes/MGI:103033
MGI:103060,Ecm1,Subviable,http://www.mousephenotype.org/data/genes/MGI:103060
MGI:103063,Stat1,Viable,http://www.mousephenotype.org/data/genes/MGI:103063
MGI:103075,Wee1,Lethal,http://www.mousephenotype.org/data/genes/MGI:103075
MGI:103077,Stx3,Lethal,http://www.mousephenotype.org/data/genes/MGI:103077
