"Id" "Name"
"00010" "Glycolysis / Gluconeogenesis"
"00020" "Citrate cycle (TCA cycle)"
"00030" "Pentose phosphate pathway"
"00040" "Pentose and glucuronate interconversions"
"00051" "Fructose and mannose metabolism"
"00052" "Galactose metabolism"
"00053" "Ascorbate and aldarate metabolism"
"00061" "Fatty acid biosynthesis"
"00062" "Fatty acid elongation"
"00071" "Fatty acid degradation"
"00072" "Synthesis and degradation of ketone bodies"
"00100" "Steroid biosynthesis"
"00120" "Primary bile acid biosynthesis"
"00130" "Ubiquinone and other terpenoid-quinone biosynthesis"
"00140" "Steroid hormone biosynthesis"
"00190" "Oxidative phosphorylation"
"00220" "Arginine biosynthesis"
"00230" "Purine metabolism"
"00232" "Caffeine metabolism"
"00240" "Pyrimidine metabolism"
"00250" "Alanine, aspartate and glutamate metabolism"
"00260" "Glycine, serine and threonine metabolism"
"00270" "Cysteine and methionine metabolism"
"00280" "Valine, leucine and isoleucine degradation"
"00290" "Valine, leucine and isoleucine biosynthesis"
"00310" "Lysine degradation"
"00330" "Arginine and proline metabolism"
"00340" "Histidine metabolism"
"00350" "Tyrosine metabolism"
"00360" "Phenylalanine metabolism"
"00380" "Tryptophan metabolism"
"00400" "Phenylalanine, tyrosine and tryptophan biosynthesis"
"00410" "beta-Alanine metabolism"
"00430" "Taurine and hypotaurine metabolism"
"00440" "Phosphonate and phosphinate metabolism"
"00450" "Selenocompound metabolism"
"00471" "D-Glutamine and D-glutamate metabolism"
"00472" "D-Arginine and D-ornithine metabolism"
"00480" "Glutathione metabolism"
"00500" "Starch and sucrose metabolism"
"00510" "N-Glycan biosynthesis"
"00511" "Other glycan degradation"
"00512" "Mucin type O-glycan biosynthesis"
"00514" "Other types of O-glycan biosynthesis"
"00515" "Mannose type O-glycan biosynthesis"
"00520" "Amino sugar and nucleotide sugar metabolism"
"00524" "Neomycin, kanamycin and gentamicin biosynthesis"
"00531" "Glycosaminoglycan degradation"
"00532" "Glycosaminoglycan biosynthesis"
"00533" "Glycosaminoglycan biosynthesis"
"00534" "Glycosaminoglycan biosynthesis"
"00561" "Glycerolipid metabolism"
"00562" "Inositol phosphate metabolism"
"00563" "Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"00564" "Glycerophospholipid metabolism"
"00565" "Ether lipid metabolism"
"00590" "Arachidonic acid metabolism"
"00591" "Linoleic acid metabolism"
"00592" "alpha-Linolenic acid metabolism"
"00600" "Sphingolipid metabolism"
"00601" "Glycosphingolipid biosynthesis"
"00603" "Glycosphingolipid biosynthesis"
"00604" "Glycosphingolipid biosynthesis"
"00620" "Pyruvate metabolism"
"00630" "Glyoxylate and dicarboxylate metabolism"
"00640" "Propanoate metabolism"
"00650" "Butanoate metabolism"
"00670" "One carbon pool by folate"
"00730" "Thiamine metabolism"
"00740" "Riboflavin metabolism"
"00750" "Vitamin B6 metabolism"
"00760" "Nicotinate and nicotinamide metabolism"
"00770" "Pantothenate and CoA biosynthesis"
"00780" "Biotin metabolism"
"00785" "Lipoic acid metabolism"
"00790" "Folate biosynthesis"
"00830" "Retinol metabolism"
"00860" "Porphyrin and chlorophyll metabolism"
"00900" "Terpenoid backbone biosynthesis"
"00910" "Nitrogen metabolism"
"00920" "Sulfur metabolism"
"00970" "Aminoacyl-tRNA biosynthesis"
"00980" "Metabolism of xenobiotics by cytochrome P450"
"00982" "Drug metabolism"
"00983" "Drug metabolism"
"01040" "Biosynthesis of unsaturated fatty acids"
"01100" "Metabolic pathways"
"01200" "Carbon metabolism"
"01210" "2-Oxocarboxylic acid metabolism"
"01212" "Fatty acid metabolism"
"01230" "Biosynthesis of amino acids"
"01521" "EGFR tyrosine kinase inhibitor resistance"
"01522" "Endocrine resistance"
"01523" "Antifolate resistance"
"01524" "Platinum drug resistance"
"02010" "ABC transporters"
"03008" "Ribosome biogenesis in eukaryotes"
"03010" "Ribosome"
"03013" "RNA transport"
"03015" "mRNA surveillance pathway"
"03018" "RNA degradation"
"03020" "RNA polymerase"
"03022" "Basal transcription factors"
"03030" "DNA replication"
"03040" "Spliceosome"
"03050" "Proteasome"
"03060" "Protein export"
"03320" "PPAR signaling pathway"
"03410" "Base excision repair"
"03420" "Nucleotide excision repair"
"03430" "Mismatch repair"
"03440" "Homologous recombination"
"03450" "Non-homologous end-joining"
"03460" "Fanconi anemia pathway"
"04010" "MAPK signaling pathway"
"04012" "ErbB signaling pathway"
"04014" "Ras signaling pathway"
"04015" "Rap1 signaling pathway"
"04020" "Calcium signaling pathway"
"04022" "cGMP-PKG signaling pathway"
"04024" "cAMP signaling pathway"
"04060" "Cytokine-cytokine receptor interaction"
"04062" "Chemokine signaling pathway"
"04064" "NF-kappa B signaling pathway"
"04066" "HIF-1 signaling pathway"
"04068" "FoxO signaling pathway"
"04070" "Phosphatidylinositol signaling system"
"04071" "Sphingolipid signaling pathway"
"04072" "Phospholipase D signaling pathway"
"04080" "Neuroactive ligand-receptor interaction"
"04110" "Cell cycle"
"04114" "Oocyte meiosis"
"04115" "p53 signaling pathway"
"04120" "Ubiquitin mediated proteolysis"
"04122" "Sulfur relay system"
"04130" "SNARE interactions in vesicular transport"
"04136" "Autophagy"
"04137" "Mitophagy"
"04140" "Autophagy"
"04141" "Protein processing in endoplasmic reticulum"
"04142" "Lysosome"
"04144" "Endocytosis"
"04145" "Phagosome"
"04146" "Peroxisome"
"04150" "mTOR signaling pathway"
"04151" "PI3K-Akt signaling pathway"
"04152" "AMPK signaling pathway"
"04210" "Apoptosis"
"04211" "Longevity regulating pathway"
"04213" "Longevity regulating pathway"
"04215" "Apoptosis"
"04216" "Ferroptosis"
"04217" "Necroptosis"
"04218" "Cellular senescence"
"04260" "Cardiac muscle contraction"
"04261" "Adrenergic signaling in cardiomyocytes"
"04270" "Vascular smooth muscle contraction"
"04310" "Wnt signaling pathway"
"04330" "Notch signaling pathway"
"04340" "Hedgehog signaling pathway"
"04350" "TGF-beta signaling pathway"
"04360" "Axon guidance"
"04370" "VEGF signaling pathway"
"04371" "Apelin signaling pathway"
"04380" "Osteoclast differentiation"
"04390" "Hippo signaling pathway"
"04392" "Hippo signaling pathway"
"04510" "Focal adhesion"
"04512" "ECM-receptor interaction"
"04514" "Cell adhesion molecules (CAMs)"
"04520" "Adherens junction"
"04530" "Tight junction"
"04540" "Gap junction"
"04550" "Signaling pathways regulating pluripotency of stem cells"
"04610" "Complement and coagulation cascades"
"04611" "Platelet activation"
"04612" "Antigen processing and presentation"
"04614" "Renin-angiotensin system"
"04620" "Toll-like receptor signaling pathway"
"04621" "NOD-like receptor signaling pathway"
"04622" "RIG-I-like receptor signaling pathway"
"04623" "Cytosolic DNA-sensing pathway"
"04625" "C-type lectin receptor signaling pathway"
"04630" "JAK-STAT signaling pathway"
"04640" "Hematopoietic cell lineage"
"04650" "Natural killer cell mediated cytotoxicity"
"04657" "IL-17 signaling pathway"
"04658" "Th1 and Th2 cell differentiation"
"04659" "Th17 cell differentiation"
"04660" "T cell receptor signaling pathway"
"04662" "B cell receptor signaling pathway"
"04664" "Fc epsilon RI signaling pathway"
"04666" "Fc gamma R-mediated phagocytosis"
"04668" "TNF signaling pathway"
"04670" "Leukocyte transendothelial migration"
"04672" "Intestinal immune network for IgA production"
"04710" "Circadian rhythm"
"04713" "Circadian entrainment"
"04714" "Thermogenesis"
"04720" "Long-term potentiation"
"04721" "Synaptic vesicle cycle"
"04722" "Neurotrophin signaling pathway"
"04723" "Retrograde endocannabinoid signaling"
"04724" "Glutamatergic synapse"
"04725" "Cholinergic synapse"
"04726" "Serotonergic synapse"
"04727" "GABAergic synapse"
"04728" "Dopaminergic synapse"
"04730" "Long-term depression"
"04740" "Olfactory transduction"
"04742" "Taste transduction"
"04744" "Phototransduction"
"04750" "Inflammatory mediator regulation of TRP channels"
"04810" "Regulation of actin cytoskeleton"
"04910" "Insulin signaling pathway"
"04911" "Insulin secretion"
"04912" "GnRH signaling pathway"
"04913" "Ovarian steroidogenesis"
"04914" "Progesterone-mediated oocyte maturation"
"04915" "Estrogen signaling pathway"
"04916" "Melanogenesis"
"04917" "Prolactin signaling pathway"
"04918" "Thyroid hormone synthesis"
"04919" "Thyroid hormone signaling pathway"
"04920" "Adipocytokine signaling pathway"
"04921" "Oxytocin signaling pathway"
"04922" "Glucagon signaling pathway"
"04923" "Regulation of lipolysis in adipocytes"
"04924" "Renin secretion"
"04925" "Aldosterone synthesis and secretion"
"04926" "Relaxin signaling pathway"
"04927" "Cortisol synthesis and secretion"
"04928" "Parathyroid hormone synthesis, secretion and action"
"04930" "Type II diabetes mellitus"
"04931" "Insulin resistance"
"04932" "Non-alcoholic fatty liver disease (NAFLD)"
"04933" "AGE-RAGE signaling pathway in diabetic complications"
"04934" "Cushing syndrome"
"04940" "Type I diabetes mellitus"
"04950" "Maturity onset diabetes of the young"
"04960" "Aldosterone-regulated sodium reabsorption"
"04961" "Endocrine and other factor-regulated calcium reabsorption"
"04962" "Vasopressin-regulated water reabsorption"
"04964" "Proximal tubule bicarbonate reclamation"
"04966" "Collecting duct acid secretion"
"04970" "Salivary secretion"
"04971" "Gastric acid secretion"
"04972" "Pancreatic secretion"
"04973" "Carbohydrate digestion and absorption"
"04974" "Protein digestion and absorption"
"04975" "Fat digestion and absorption"
"04976" "Bile secretion"
"04977" "Vitamin digestion and absorption"
"04978" "Mineral absorption"
"04979" "Cholesterol metabolism"
"05010" "Alzheimer disease"
"05012" "Parkinson disease"
"05014" "Amyotrophic lateral sclerosis (ALS)"
"05016" "Huntington disease"
"05020" "Prion diseases"
"05030" "Cocaine addiction"
"05031" "Amphetamine addiction"
"05032" "Morphine addiction"
"05033" "Nicotine addiction"
"05034" "Alcoholism"
"05100" "Bacterial invasion of epithelial cells"
"05110" "Vibrio cholerae infection"
"05120" "Epithelial cell signaling in Helicobacter pylori infection"
"05130" "Pathogenic Escherichia coli infection"
"05131" "Shigellosis"
"05132" "Salmonella infection"
"05133" "Pertussis"
"05134" "Legionellosis"
"05140" "Leishmaniasis"
"05142" "Chagas disease (American trypanosomiasis)"
"05143" "African trypanosomiasis"
"05144" "Malaria"
"05145" "Toxoplasmosis"
"05146" "Amoebiasis"
"05150" "Staphylococcus aureus infection"
"05152" "Tuberculosis"
"05160" "Hepatitis C"
"05161" "Hepatitis B"
"05162" "Measles"
"05163" "Human cytomegalovirus infection"
"05164" "Influenza A"
"05165" "Human papillomavirus infection"
"05166" "Human T-cell leukemia virus 1 infection"
"05167" "Kaposi sarcoma-associated herpesvirus infection"
"05168" "Herpes simplex infection"
"05169" "Epstein-Barr virus infection"
"05170" "Human immunodeficiency virus 1 infection"
"05200" "Pathways in cancer"
"05202" "Transcriptional misregulation in cancer"
"05203" "Viral carcinogenesis"
"05204" "Chemical carcinogenesis"
"05205" "Proteoglycans in cancer"
"05206" "MicroRNAs in cancer"
"05210" "Colorectal cancer"
"05211" "Renal cell carcinoma"
"05212" "Pancreatic cancer"
"05213" "Endometrial cancer"
"05214" "Glioma"
"05215" "Prostate cancer"
"05216" "Thyroid cancer"
"05217" "Basal cell carcinoma"
"05218" "Melanoma"
"05219" "Bladder cancer"
"05220" "Chronic myeloid leukemia"
"05221" "Acute myeloid leukemia"
"05222" "Small cell lung cancer"
"05223" "Non-small cell lung cancer"
"05224" "Breast cancer"
"05225" "Hepatocellular carcinoma"
"05226" "Gastric cancer"
"05230" "Central carbon metabolism in cancer"
"05231" "Choline metabolism in cancer"
"05310" "Asthma"
"05320" "Autoimmune thyroid disease"
"05321" "Inflammatory bowel disease (IBD)"
"05322" "Systemic lupus erythematosus"
"05323" "Rheumatoid arthritis"
"05330" "Allograft rejection"
